Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2011-2014,12,Structured sparse coding via lateral inhibition,Extracting regions of interest from biological images with convolutional sparse block coding,0.0,7.1,4271,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1999-2002,13,Learning with Multiple Labels,A Conditional Multinomial Mixture Model for Superset Label Learning,0.0,397.0,2234,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2002-2005,0,Learning with Multiple Labels,A Conditional Multinomial Mixture Model for Superset Label Learning,0.103,0.103,2234,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
2014-2017,1,A Universal Catalyst for First-Order Optimization,Exploiting the Structure: Stochastic Gradient Methods Using Raw Clusters,0.673,0.673,5928,"[u'tensor', u'convergence', u'algorithm', u'convex', u'iteration', u'optimization', u'proximal', u'analysis', u'gradient', u'algorithms']",[8],0
2002-2005,2,Approximate Policy Iteration with a Policy Language Bias,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris,0.82,0.82,2456,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[9],7
2011-2014,3,Optimizing Instructional Policies,Optimal Teaching for Limited-Capacity Human Learners,4.426,4.426,4887,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,4,Phase transitions for high-dimensional joint support recovery,Group Sparse Coding,0.12,0.12,3392,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,5,Phase transitions for high-dimensional joint support recovery,Group Sparse Coding,0.123,0.123,3392,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,6,Learning word embeddings efficiently with noise-contrastive estimation,Efficient Exact Gradient Update for training Deep Networks with Very Large Sparse Targets,1.26,1.26,5165,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,6,Learning word embeddings efficiently with noise-contrastive estimation,Efficient Exact Gradient Update for training Deep Networks with Very Large Sparse Targets,0.323,0.323,5165,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,6,Learning word embeddings efficiently with noise-contrastive estimation,Exponential Family Embeddings,15.364,15.364,5165,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,7,Learning to Rank with Nonsmooth Cost Functions,Polynomial Semantic Indexing,1.305,1.305,2971,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2011-2014,8,Delay Compensation with Dynamical Synapses,Spike Frequency Adaptation Implements Anticipative Tracking in Continuous Attractor Neural Networks,0.494,0.494,4776,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,9,Nonlinear causal discovery with additive noise models,Causal discovery in multiple models from different experiments,0.685,0.685,3548,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,10,Nonlinear causal discovery with additive noise models,Causal discovery in multiple models from different experiments,12.475,12.475,3548,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,11,Policy gradients in linearly-solvable MDPs,Variational Policy Search via Trajectory Optimization,0.208,0.208,4013,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,12,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions,Sparse Space-Time Deconvolution for Calcium Image Analysis,1.679,1.679,4996,"[u'matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
1996-1999,13,The Infinite Gaussian Mixture Model,Occam's Razor,19.577,19.577,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,13,The Infinite Gaussian Mixture Model,Infinite Mixtures of Gaussian Process Experts,0.06,0.06,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,13,The Infinite Gaussian Mixture Model,Copula Processes,0.0,104.4,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,13,The Infinite Gaussian Mixture Model,Construction of Dependent Dirichlet Processes based on Poisson Processes,0.0,413.3,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,13,The Infinite Gaussian Mixture Model,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,0.0,40.3,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1996-1999,13,The Infinite Gaussian Mixture Model,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,0.0,17.1,1745,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1999-2002,0,The Infinite Gaussian Mixture Model,Occam's Razor,7.541,7.541,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,The Infinite Gaussian Mixture Model,Infinite Mixtures of Gaussian Process Experts,3.39,3.39,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,The Infinite Gaussian Mixture Model,Copula Processes,28.709,28.709,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,The Infinite Gaussian Mixture Model,Construction of Dependent Dirichlet Processes based on Poisson Processes,0.648,0.648,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,The Infinite Gaussian Mixture Model,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,0.063,0.063,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,0,The Infinite Gaussian Mixture Model,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,0.124,0.124,1745,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2011-2014,1,Large-scale L-BFGS using MapReduce,Fast Classification Rates for High-dimensional Gaussian Generative Models,0.361,0.361,5333,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,1,Large-scale L-BFGS using MapReduce,A Multi-Batch L-BFGS Method for Machine Learning,1.554,1.554,5333,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,2,Large-scale L-BFGS using MapReduce,Fast Classification Rates for High-dimensional Gaussian Generative Models,0.444,0.444,5333,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2014-2017,2,Large-scale L-BFGS using MapReduce,A Multi-Batch L-BFGS Method for Machine Learning,0.234,0.234,5333,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2002-2005,3,Learning in Silicon: Timing is Everything,An in-silico Neural Model of Dynamic Routing through Neuronal Coherence,24.105,24.105,2859,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2005-2008,4,Learning in Silicon: Timing is Everything,An in-silico Neural Model of Dynamic Routing through Neuronal Coherence,13.553,13.553,2859,"[u'response', u'model', u'document', u'topic', u'slda', u'topics', u'variational', u'lda', u'log', u'distribution']",[1],4
2008-2011,5,Similarity-based Learning via Data Driven Embeddings,Supervised Learning with Similarity Functions,1.041,1.041,4306,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,6,Similarity-based Learning via Data Driven Embeddings,Supervised Learning with Similarity Functions,0.29,0.29,4306,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
1993-1996,7,Generalization in Reinforcement Learning: Safely Approximating the Value Function,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,0.335,0.335,1018,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
1987-1990,8,Chaitin-Kolmogorov Complexity and Generalization in Neural Networks,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,0.244,0.244,394,"[u'network', u'training', u'parameters', u'networks', u'number', u'classifiers', u'training', u'classifier', u'network', u'classification']","[0, 4]",1
1990-1993,9,Chaitin-Kolmogorov Complexity and Generalization in Neural Networks,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,0.0,24.0,394,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1999-2002,10,Exponential Family PCA for Belief Compression in POMDPs,Timely Object Recognition,0.0,206.0,2319,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,11,Exponential Family PCA for Belief Compression in POMDPs,Timely Object Recognition,0.0,4.0,2319,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2011-2014,12,Rational inference of relative preferences,Magnitude-sensitive preference formation`,0.0,22.4,4670,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,12,Rational inference of relative preferences,A Theory of Decision Making Under Dynamic Context,0.0,0.3,4670,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,12,Rational inference of relative preferences,Human Decision-Making under Limited Time,0.0,6.0,4670,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1990-1993,13,Improving the Performance of Radial Basis Function Networks by Learning Center Locations,Boosting the Performance of RBF Networks with Dynamic Decay Adjustment,6.47,6.47,544,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1993-1996,0,Bayesian Query Construction for Neural Network Models,Minimizing Statistical Bias with Queries,5.864,5.864,1000,"[u'weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
1999-2002,1,Algorithms for Non-negative Matrix Factorization,Simplicial Mixtures of Markov Chains: Distributed Modelling of Dynamic User Profiles,0.88,0.88,1861,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,1,Algorithms for Non-negative Matrix Factorization,Sparse Overcomplete Latent Variable Decomposition of Counts Data,0.15,0.15,1861,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,1,Algorithms for Non-negative Matrix Factorization,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,0.296,0.296,1861,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1996-1999,2,Nonlinear Markov Networks for Continuous Variables,Mixtures of Gaussian Processes,0.254,0.254,1341,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
2005-2008,3,Map-Reduce for Machine Learning on Multicore,Large-scale L-BFGS using MapReduce,0.0,0.0,3150,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,4,MAS: a multiplicative approximation scheme for probabilistic inference,Approximate Inference by Compilation to Arithmetic Circuits,0.0,0.0,3479,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,5,MAS: a multiplicative approximation scheme for probabilistic inference,Approximate Inference by Compilation to Arithmetic Circuits,0.0,0.0,3479,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,6,Near-Optimal MAP Inference for Determinantal Point Processes,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,0.074,0.074,4577,"[u'class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2011-2014,6,Near-Optimal MAP Inference for Determinantal Point Processes,Expectation-Maximization for Learning Determinantal Point Processes,0.476,0.476,4577,"[u'class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
1996-1999,7,Learning from Dyadic Data,Kernel Expansions with Unlabeled Examples,0.452,0.452,1503,"[u'model', u'data', u'clustering', u'aspect', u'models', u'sided', u'one', u'latent', u'learning', u'hofmann']",[8],6
2002-2005,8,Two-Dimensional Linear Discriminant Analysis,Tensor Subspace Analysis,0.409,0.409,2547,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
1987-1990,9,Implications of Recursive Distributed Representations,Higher Order Recurrent Networks and Grammatical Inference,0.053,0.053,114,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1987-1990,9,Implications of Recursive Distributed Representations,Language Induction by Phase Transition in Dynamical Recognizers,0.445,0.445,114,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
2002-2005,10,Modeling User Rating Profiles For Collaborative Filtering,Unsupervised Feature Selection for Accurate Recommendation of High-Dimensional Image Data,0.107,0.107,2377,"[u'model', u'data', u'latent', u'learning', u'models', u'linear', u'training', u'space', u'mixture', u'doublets']",[7],0
1999-2002,11,Robust Reinforcement Learning,Nonparametric Representation of Policies and Value Functions: A Trajectory-Based Approach,0.159,0.159,1841,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,11,Robust Reinforcement Learning,Minimax Differential Dynamic Programming: An Application to Robust Biped Walking,0.664,0.664,1841,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,12,Multiple Instance Boosting for Object Detection,MCBoost: Multiple Classifier Boosting for Perceptual Co-clustering of Images and Visual Features,0.158,0.158,2926,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,12,Multiple Instance Boosting for Object Detection,Multi-Level Active Prediction of Useful Image Annotations for Recognition,0.129,0.129,2926,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,13,Multiple Instance Boosting for Object Detection,MCBoost: Multiple Classifier Boosting for Perceptual Co-clustering of Images and Visual Features,0.052,0.052,2926,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,13,Multiple Instance Boosting for Object Detection,Multi-Level Active Prediction of Useful Image Annotations for Recognition,0.26,0.26,2926,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2008-2011,0,Improved Algorithms for Linear Stochastic Bandits,Combinatorial semi-bandit with known covariance,12.147,12.147,4417,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,1,Improved Algorithms for Linear Stochastic Bandits,Combinatorial semi-bandit with known covariance,0.102,0.102,4417,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
1999-2002,2,Bayesian Monte Carlo,Bayesian Policy Gradient Algorithms,2.919,2.919,2150,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,2,Bayesian Monte Carlo,Active Learning of Model Evidence Using Bayesian Quadrature,0.612,0.612,2150,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,2,Bayesian Monte Carlo,Sampling for Inference in Probabilistic Models with Fast Bayesian Quadrature,0.156,0.156,2150,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,2,Bayesian Monte Carlo,Frank-Wolfe Bayesian Quadrature: Probabilistic Integration with Theoretical Guarantees,0.351,0.351,2150,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2002-2005,3,Bayesian Monte Carlo,Bayesian Policy Gradient Algorithms,0.078,0.078,2150,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
2002-2005,3,Bayesian Monte Carlo,Active Learning of Model Evidence Using Bayesian Quadrature,1.854,1.854,2150,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
2002-2005,3,Bayesian Monte Carlo,Sampling for Inference in Probabilistic Models with Fast Bayesian Quadrature,0.632,0.632,2150,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
2002-2005,3,Bayesian Monte Carlo,Frank-Wolfe Bayesian Quadrature: Probabilistic Integration with Theoretical Guarantees,0.793,0.793,2150,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
1996-1999,4,EM Algorithms for PCA and SPCA,Robust Kernel Principal Component Analysis,0.925,0.925,1398,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
2008-2011,5,A unified framework for high-dimensional analysis of ,Generalized Dantzig Selector: Application to the k-support norm,0.182,0.182,3765,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,6,How transferable are features in deep neural networks?,Unsupervised Domain Adaptation with Residual Transfer Networks,0.615,0.615,5347,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,6,How transferable are features in deep neural networks?,Combining Low-Density Separators with CNNs,0.115,0.115,5347,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,7,How transferable are features in deep neural networks?,Unsupervised Domain Adaptation with Residual Transfer Networks,0.233,0.233,5347,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2014-2017,7,How transferable are features in deep neural networks?,Combining Low-Density Separators with CNNs,0.549,0.549,5347,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2008-2011,8,Identifying graph-structured activation patterns in networks,"Total Variation Classes Beyond 1d: Minimax Rates, and the Limitations of Linear Smoothers",0.101,0.101,4075,"[u'graph', u'graphs', u'kernel', u'distance', u'kernels', u'lehman', u'weisfeiler', u'resistance', u'runtime', u'nodes']",[6],1
2008-2011,9,Im2Text: Describing Images Using 1 Million Captioned Photographs,Expressing an Image Stream with a Sequence of Natural Sentences,0.082,0.082,4470,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2011-2014,10,Im2Text: Describing Images Using 1 Million Captioned Photographs,Expressing an Image Stream with a Sequence of Natural Sentences,0.357,0.357,4470,"[u'class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2011-2014,11,Estimation with Norm Regularization,Beyond Sub-Gaussian Measurements: High-Dimensional Structured Estimation with Sub-Exponential Designs,0.288,0.288,5465,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,11,Estimation with Norm Regularization,High Dimensional Structured Superposition Models,0.137,0.137,5465,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,12,Estimation with Norm Regularization,Beyond Sub-Gaussian Measurements: High-Dimensional Structured Estimation with Sub-Exponential Designs,0.215,0.215,5465,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2014-2017,12,Estimation with Norm Regularization,High Dimensional Structured Superposition Models,3.292,3.292,5465,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
1999-2002,13,The Unified Propagation and Scaling Algorithm,The g Factor: Relating Distributions on Features to Distributions on Images,0.084,0.084,2001,"[u'learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
1999-2002,0,Feature Selection by Maximum Marginal Diversity,Discriminant Saliency for Visual Recognition from Cluttered Scenes,0.209,0.209,2169,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2002-2005,1,Feature Selection by Maximum Marginal Diversity,Discriminant Saliency for Visual Recognition from Cluttered Scenes,0.266,0.266,2169,"[u'features', u'means', u'feature', u'data', u'model', u'model', u'words', u'image', u'lda', u'models', u'data', u'log', u'function', u'target', u'design']","[1, 4, 8]",1
2008-2011,2,Slow Learners are Fast,Delay-Tolerant Algorithms for Asynchronous Distributed Online Learning,0.536,0.536,3888,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,3,Tight convex relaxations for sparse matrix factorization,Sparse PCA via Bipartite Matchings,0.209,0.209,5408,"[u'matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
2011-2014,3,Tight convex relaxations for sparse matrix factorization,Unified View of Matrix Completion under General Structural Constraints,0.181,0.181,5408,"[u'matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
2014-2017,4,Tight convex relaxations for sparse matrix factorization,Sparse PCA via Bipartite Matchings,0.068,0.068,5408,"[u'sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
2014-2017,4,Tight convex relaxations for sparse matrix factorization,Unified View of Matrix Completion under General Structural Constraints,0.063,0.063,5408,"[u'sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
2014-2017,5,Neural Adaptive Sequential Monte Carlo,Neurally-Guided Procedural Models: Amortized Inference for Procedural Graphics Programs using Neural Networks,0.47,0.47,5961,"[u'proposal', u'smc', u'rnn', u'distribution', u'method', u'neural', u'methods', u'using', u'learning', u'particle']",[7],3
2014-2017,5,Neural Adaptive Sequential Monte Carlo,Neurally-Guided Procedural Models: Amortized Inference for Procedural Graphics Programs using Neural Networks,1.792,1.792,5961,"[u'proposal', u'smc', u'rnn', u'distribution', u'method', u'neural', u'methods', u'using', u'learning', u'particle']",[7],3
2014-2017,6,Convergence rates of sub-sampled Newton methods,Newton-Stein Method: A Second Order Method for GLMs via Stein's Lemma,9.463,9.463,5918,"[u'bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
2014-2017,6,Convergence rates of sub-sampled Newton methods,Sub-sampled Newton Methods with Non-uniform Sampling,0.379,0.379,5918,"[u'bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
2014-2017,6,Convergence rates of sub-sampled Newton methods,Adaptive Newton Method for Empirical Risk Minimization to Statistical Accuracy,1.756,1.756,5918,"[u'bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
2005-2008,7,Subordinate class recognition using relational object models,"Beyond Novelty Detection: Incongruent Events, when General and Specific Classifiers Disagree",0.0,0.0,3131,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1996-1999,8,Learning Mixture Hierarchies,A MCMC Approach to Hierarchical Mixture Modelling,0.0,16.4,1543,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1987-1990,9,Using Local Models to Control Movement,Memory-based Stochastic Optimization,0.0,9.8,289,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1987-1990,9,Using Local Models to Control Movement,"Fast, Robust Adaptive Control by Learning only Forward Models",0.0,0.9,289,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1999-2002,10,Latent Dirichlet Allocation,Integrating Topics and Syntax,0.0,0.8,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Context as Filtering,0.0,0.2,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Sparse Overcomplete Latent Variable Decomposition of Counts Data,0.0,0.6,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,A ``Shape Aware'' Model for semi-supervised Learning of Objects and its Context,0.0,26.9,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Correlated Bigram LSA for Unsupervised Language Model Adaptation,0.0,0.0,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Large Margin Taxonomy Embedding for Document Categorization,0.0,0.0,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Dirichlet-Bernoulli Alignment: A Generative Model for Multi-Class Multi-Label Multi-Instance Corpora,0.0,0.0,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,10,Latent Dirichlet Allocation,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,0.156,0.156,2070,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
